"Step","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-london__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-hongkong__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-newyork__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-singapore__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-london__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-newyork__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return__MIN","clmux/clmux-beijing__dqn__1__1727071638 - charts/episodic_return__MAX","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-singapore__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-beijing__qlearning__1__1727071637 - charts/episodic_return__MAX","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return__MIN","clmux/clmux-hongkong__qlearning__1__1727071637 - charts/episodic_return__MAX"
"11","","","","","","","","","","","","","-227470.765625","-227470.765625","-227470.765625","-234915.328125","-234915.328125","-234915.328125","","","","-194896.484375","-194896.484375","-194896.484375","-252856.015625","-252856.015625","-252856.015625","-159785.375","-159785.375","-159785.375"
"12","","","","","","","","","","","","","-226176.765625","-226176.765625","-226176.765625","-233986.796875","-233986.796875","-233986.796875","","","","-194575.046875","-194575.046875","-194575.046875","-250723.296875","-250723.296875","-250723.296875","-158789.09375","-158789.09375","-158789.09375"
"13","","","","","","","","","","","","","-226751.625","-226751.625","-226751.625","-234276.359375","-234276.359375","-234276.359375","","","","-193758.328125","-193758.328125","-193758.328125","-250653.34375","-250653.34375","-250653.34375","-158492.96875","-158492.96875","-158492.96875"
"14","","","","","","","","","","","","","-226533.96875","-226533.96875","-226533.96875","-234012.3125","-234012.3125","-234012.3125","","","","-193578.90625","-193578.90625","-193578.90625","-251396.21875","-251396.21875","-251396.21875","-158451.109375","-158451.109375","-158451.109375"
"15","","","","","","","","","","","","","-226194.5","-226194.5","-226194.5","-233764.59375","-233764.59375","-233764.59375","","","","-194315.109375","-194315.109375","-194315.109375","-250432.046875","-250432.046875","-250432.046875","-158708.828125","-158708.828125","-158708.828125"
"16","","","","","","","","","","","","","-224604.40625","-224604.40625","-224604.40625","-231995.140625","-231995.140625","-231995.140625","","","","-193217.84375","-193217.84375","-193217.84375","-247967.796875","-247967.796875","-247967.796875","-158178.359375","-158178.359375","-158178.359375"
"17","","","","","","","","","","","","","-224693.921875","-224693.921875","-224693.921875","-232087.109375","-232087.109375","-232087.109375","","","","-192498.9375","-192498.9375","-192498.9375","-247390.734375","-247390.734375","-247390.734375","-157765.546875","-157765.546875","-157765.546875"
"18","","","","","","","","","","","","","-224597.984375","-224597.984375","-224597.984375","-231926.71875","-231926.71875","-231926.71875","","","","-192072.671875","-192072.671875","-192072.671875","-248029.421875","-248029.421875","-248029.421875","-157267.5","-157267.5","-157267.5"
"19","","","","","","","","","","","","","-223369.390625","-223369.390625","-223369.390625","-230863.09375","-230863.09375","-230863.09375","","","","-192042.078125","-192042.078125","-192042.078125","-245704.5625","-245704.5625","-245704.5625","-157602.453125","-157602.453125","-157602.453125"
"20","","","","","","","","","","","","","-223404.625","-223404.625","-223404.625","-230644.203125","-230644.203125","-230644.203125","","","","-192017.390625","-192017.390625","-192017.390625","-246382.296875","-246382.296875","-246382.296875","-157711.421875","-157711.421875","-157711.421875"
"21","","","","","","","","","","","","","-223085.8125","-223085.8125","-223085.8125","-229913.546875","-229913.546875","-229913.546875","","","","-191263.625","-191263.625","-191263.625","-244879.59375","-244879.59375","-244879.59375","-156917.109375","-156917.109375","-156917.109375"
"22","","","","","","","","","","","","","-223958.234375","-223958.234375","-223958.234375","-231299.171875","-231299.171875","-231299.171875","","","","-191058.265625","-191058.265625","-191058.265625","-246979.375","-246979.375","-246979.375","-156923.375","-156923.375","-156923.375"
"23","","","","","","","","","","","","","-222698.421875","-222698.421875","-222698.421875","-229752.96875","-229752.96875","-229752.96875","","","","-190606.1875","-190606.1875","-190606.1875","-244915.921875","-244915.921875","-244915.921875","-156991.1875","-156991.1875","-156991.1875"
"24","","","","","","","","","","","","","-221380.578125","-221380.578125","-221380.578125","-228200.21875","-228200.21875","-228200.21875","","","","-190656.203125","-190656.203125","-190656.203125","-242364.046875","-242364.046875","-242364.046875","-156636.890625","-156636.890625","-156636.890625"
"25","","","","","","","","","","","","","-222620.515625","-222620.515625","-222620.515625","-229430.015625","-229430.015625","-229430.015625","","","","-190363.578125","-190363.578125","-190363.578125","-244775.71875","-244775.71875","-244775.71875","-156698.6875","-156698.6875","-156698.6875"
"26","","","","","","","","","","","","","-221321.453125","-221321.453125","-221321.453125","-228826.609375","-228826.609375","-228826.609375","","","","-190415.09375","-190415.09375","-190415.09375","-242995.6875","-242995.6875","-242995.6875","-156917.75","-156917.75","-156917.75"
"27","","","","","","","","","","","","","-220346.84375","-220346.84375","-220346.84375","-227103.03125","-227103.03125","-227103.03125","","","","-190323.046875","-190323.046875","-190323.046875","-241427.71875","-241427.71875","-241427.71875","-156743.125","-156743.125","-156743.125"
"28","","","","","","","","","","","","","-219862.3125","-219862.3125","-219862.3125","-226584.765625","-226584.765625","-226584.765625","","","","-189358.59375","-189358.59375","-189358.59375","-239586.359375","-239586.359375","-239586.359375","-155757.9375","-155757.9375","-155757.9375"
"29","","","","","","","","","","","","","-220831.65625","-220831.65625","-220831.65625","-227367.5","-227367.5","-227367.5","","","","-189667.15625","-189667.15625","-189667.15625","-241771.8125","-241771.8125","-241771.8125","-156183.296875","-156183.296875","-156183.296875"
"30","","","","","","","","","","","","","-219569.15625","-219569.15625","-219569.15625","-226642.484375","-226642.484375","-226642.484375","","","","-188901.765625","-188901.765625","-188901.765625","-240156.234375","-240156.234375","-240156.234375","-156169.890625","-156169.890625","-156169.890625"
"31","","","","","","","","","","","","","-219122.078125","-219122.078125","-219122.078125","-225432.390625","-225432.390625","-225432.390625","","","","-188710.28125","-188710.28125","-188710.28125","-238825.890625","-238825.890625","-238825.890625","-155579.03125","-155579.03125","-155579.03125"
"32","","","","","","","","","","","","","-218023.921875","-218023.921875","-218023.921875","-225299.265625","-225299.265625","-225299.265625","","","","-187972.109375","-187972.109375","-187972.109375","-238390.15625","-238390.15625","-238390.15625","-155069.203125","-155069.203125","-155069.203125"
"33","","","","","","","","","","","","","-217751.09375","-217751.09375","-217751.09375","-224846.65625","-224846.65625","-224846.65625","","","","-187311.703125","-187311.703125","-187311.703125","-237343.75","-237343.75","-237343.75","-155019.40625","-155019.40625","-155019.40625"
"34","","","","","","","","","","","","","-218267.015625","-218267.015625","-218267.015625","-225219.359375","-225219.359375","-225219.359375","","","","-187425.375","-187425.375","-187425.375","-237669.015625","-237669.015625","-237669.015625","-155308.5625","-155308.5625","-155308.5625"
"35","","","","","","","","","","","","","-217547.234375","-217547.234375","-217547.234375","-223979.5","-223979.5","-223979.5","","","","-187210.4375","-187210.4375","-187210.4375","-235960.859375","-235960.859375","-235960.859375","-154771.5","-154771.5","-154771.5"
"36","","","","","","","","","","","","","-216738.015625","-216738.015625","-216738.015625","-223818.734375","-223818.734375","-223818.734375","","","","-187365.125","-187365.125","-187365.125","-235952.625","-235952.625","-235952.625","-155137.046875","-155137.046875","-155137.046875"
"37","","","","","","","","","","","","","-215810.265625","-215810.265625","-215810.265625","-222486.875","-222486.875","-222486.875","","","","-186403.078125","-186403.078125","-186403.078125","-234361.703125","-234361.703125","-234361.703125","-154615.75","-154615.75","-154615.75"
"38","","","","","","","","","","","","","-215561.453125","-215561.453125","-215561.453125","-222358.09375","-222358.09375","-222358.09375","","","","-185947.484375","-185947.484375","-185947.484375","-233034.46875","-233034.46875","-233034.46875","-154229.203125","-154229.203125","-154229.203125"
"39","","","","","","","","","","","","","-216227.421875","-216227.421875","-216227.421875","-222860.296875","-222860.296875","-222860.296875","","","","-186119.1875","-186119.1875","-186119.1875","-234245.5625","-234245.5625","-234245.5625","-154312.65625","-154312.65625","-154312.65625"
"40","","","","","","","","","","","","","-216094.015625","-216094.015625","-216094.015625","-222893.3125","-222893.3125","-222893.3125","","","","-186207","-186207","-186207","-234608.265625","-234608.265625","-234608.265625","-154420.484375","-154420.484375","-154420.484375"
"41","","","","","","","","","","","","","-215173.671875","-215173.671875","-215173.671875","-222358.25","-222358.25","-222358.25","","","","-185871.796875","-185871.796875","-185871.796875","-233498.09375","-233498.09375","-233498.09375","-154319.609375","-154319.609375","-154319.609375"
"42","","","","","","","","","","","","","-214758.765625","-214758.765625","-214758.765625","-221550.609375","-221550.609375","-221550.609375","","","","-185175.375","-185175.375","-185175.375","-231942.359375","-231942.359375","-231942.359375","-154034.921875","-154034.921875","-154034.921875"
"43","","","","","","","","","","","","","-214686.921875","-214686.921875","-214686.921875","-221474.546875","-221474.546875","-221474.546875","","","","-185402.703125","-185402.703125","-185402.703125","-232210.75","-232210.75","-232210.75","-154018.078125","-154018.078125","-154018.078125"
"44","","","","","","","","","","","","","-214328.21875","-214328.21875","-214328.21875","-221114.265625","-221114.265625","-221114.265625","","","","-185165.78125","-185165.78125","-185165.78125","-231583.421875","-231583.421875","-231583.421875","-153595.921875","-153595.921875","-153595.921875"
"45","","","","","","","","","","","","","-213797.09375","-213797.09375","-213797.09375","-221284.046875","-221284.046875","-221284.046875","","","","-185019.453125","-185019.453125","-185019.453125","-231503","-231503","-231503","-154055.484375","-154055.484375","-154055.484375"
"46","","","","","","","","","","","","","-212944.90625","-212944.90625","-212944.90625","-219918.8125","-219918.8125","-219918.8125","","","","-184724.234375","-184724.234375","-184724.234375","-229750.015625","-229750.015625","-229750.015625","-153493.40625","-153493.40625","-153493.40625"
"47","","","","","","","","","","","","","-213575.859375","-213575.859375","-213575.859375","-219976.78125","-219976.78125","-219976.78125","","","","-184610.421875","-184610.421875","-184610.421875","-229691.390625","-229691.390625","-229691.390625","-153205.0625","-153205.0625","-153205.0625"
"48","","","","","","","","","","","","","-213898.90625","-213898.90625","-213898.90625","-220301.765625","-220301.765625","-220301.765625","","","","-184413.890625","-184413.890625","-184413.890625","-230829.234375","-230829.234375","-230829.234375","-153379.4375","-153379.4375","-153379.4375"
"49","","","","","","","","","","","","","-212939.328125","-212939.328125","-212939.328125","-220071.71875","-220071.71875","-220071.71875","","","","-184049.796875","-184049.796875","-184049.796875","-229344.984375","-229344.984375","-229344.984375","-152756.765625","-152756.765625","-152756.765625"
"50","","","","","","","","","","","","","-211717.890625","-211717.890625","-211717.890625","-218581.265625","-218581.265625","-218581.265625","","","","-183439.640625","-183439.640625","-183439.640625","-228135.296875","-228135.296875","-228135.296875","-153509.03125","-153509.03125","-153509.03125"
"76","-231442.59375","-231442.59375","-231442.59375","-161170.53125","-161170.53125","-161170.53125","-239565.703125","-239565.703125","-239565.703125","-197657.375","-197657.375","-197657.375","","","","","","","-259223.953125","-259223.953125","-259223.953125","","","","","","","","",""
"252","-229271.703125","-229271.703125","-229271.703125","-159916.46875","-159916.46875","-159916.46875","-236890.5625","-236890.5625","-236890.5625","-195744.578125","-195744.578125","-195744.578125","","","","","","","-254663.9375","-254663.9375","-254663.9375","","","","","","","","",""
"428","-229083.1875","-229083.1875","-229083.1875","-159526.375","-159526.375","-159526.375","-234745.921875","-234745.921875","-234745.921875","-194986.484375","-194986.484375","-194986.484375","","","","","","","-251311.671875","-251311.671875","-251311.671875","","","","","","","","",""
"604","-229428.578125","-229428.578125","-229428.578125","-159113.640625","-159113.640625","-159113.640625","-236152.1875","-236152.1875","-236152.1875","-193310.125","-193310.125","-193310.125","","","","","","","-250629.25","-250629.25","-250629.25","","","","","","","","",""
"780","-229056.65625","-229056.65625","-229056.65625","-159478.0625","-159478.0625","-159478.0625","-236395.21875","-236395.21875","-236395.21875","-192313.296875","-192313.296875","-192313.296875","","","","","","","-251139.703125","-251139.703125","-251139.703125","","","","","","","","",""
"957","-230295.546875","-230295.546875","-230295.546875","-158661.6875","-158661.6875","-158661.6875","-237089.65625","-237089.65625","-237089.65625","-189742.5","-189742.5","-189742.5","","","","","","","-251471.859375","-251471.859375","-251471.859375","","","","","","","","",""
"1133","-228140.234375","-228140.234375","-228140.234375","-159627.046875","-159627.046875","-159627.046875","-236455.0625","-236455.0625","-236455.0625","-188802.875","-188802.875","-188802.875","","","","","","","-247902.0625","-247902.0625","-247902.0625","","","","","","","","",""
"1309","-226998.59375","-226998.59375","-226998.59375","-159540.859375","-159540.859375","-159540.859375","-236271.1875","-236271.1875","-236271.1875","-186832.515625","-186832.515625","-186832.515625","","","","","","","-242884.953125","-242884.953125","-242884.953125","","","","","","","","",""
"1485","-220981.625","-220981.625","-220981.625","-157975.1875","-157975.1875","-157975.1875","-234427.078125","-234427.078125","-234427.078125","-185123.609375","-185123.609375","-185123.609375","","","","","","","-236965.265625","-236965.265625","-236965.265625","","","","","","","","",""
"1661","-216500.171875","-216500.171875","-216500.171875","-157800","-157800","-157800","-228451.5","-228451.5","-228451.5","-184242.921875","-184242.921875","-184242.921875","","","","","","","-231220.65625","-231220.65625","-231220.65625","","","","","","","","",""
"1837","-215878.734375","-215878.734375","-215878.734375","-156831.984375","-156831.984375","-156831.984375","-226612.21875","-226612.21875","-226612.21875","-183084.609375","-183084.609375","-183084.609375","","","","","","","-229606.5625","-229606.5625","-229606.5625","","","","","","","","",""
"2014","-213657.125","-213657.125","-213657.125","-154932.75","-154932.75","-154932.75","-223360.71875","-223360.71875","-223360.71875","-181347.96875","-181347.96875","-181347.96875","","","","","","","-227641.5625","-227641.5625","-227641.5625","","","","","","","","",""
"2190","-209588.3125","-209588.3125","-209588.3125","-155486.15625","-155486.15625","-155486.15625","-219632.515625","-219632.515625","-219632.515625","-180363.875","-180363.875","-180363.875","","","","","","","-224676.421875","-224676.421875","-224676.421875","","","","","","","","",""
"2366","-209769.25","-209769.25","-209769.25","-152478.421875","-152478.421875","-152478.421875","-218581.984375","-218581.984375","-218581.984375","-178583.34375","-178583.34375","-178583.34375","","","","","","","-222171.390625","-222171.390625","-222171.390625","","","","","","","","",""
"2542","-209221.984375","-209221.984375","-209221.984375","-152709.828125","-152709.828125","-152709.828125","-220069.671875","-220069.671875","-220069.671875","-177818.9375","-177818.9375","-177818.9375","","","","","","","-224620.6875","-224620.6875","-224620.6875","","","","","","","","",""
"2718","-207264.953125","-207264.953125","-207264.953125","-152537.75","-152537.75","-152537.75","-219674.15625","-219674.15625","-219674.15625","-176032.828125","-176032.828125","-176032.828125","","","","","","","-219405.765625","-219405.765625","-219405.765625","","","","","","","","",""
"2895","-202338.609375","-202338.609375","-202338.609375","-150095.71875","-150095.71875","-150095.71875","-217561.234375","-217561.234375","-217561.234375","-174733.4375","-174733.4375","-174733.4375","","","","","","","-212914.296875","-212914.296875","-212914.296875","","","","","","","","",""
"3071","-204083.953125","-204083.953125","-204083.953125","-152785.234375","-152785.234375","-152785.234375","-216014.3125","-216014.3125","-216014.3125","-173588.015625","-173588.015625","-173588.015625","","","","","","","-216442.65625","-216442.65625","-216442.65625","","","","","","","","",""
"3247","-201783.484375","-201783.484375","-201783.484375","-150013.09375","-150013.09375","-150013.09375","-215860.046875","-215860.046875","-215860.046875","-172432.140625","-172432.140625","-172432.140625","","","","","","","-213254.078125","-213254.078125","-213254.078125","","","","","","","","",""
"3423","-197566.15625","-197566.15625","-197566.15625","-147907.984375","-147907.984375","-147907.984375","-216199.078125","-216199.078125","-216199.078125","-171123.0625","-171123.0625","-171123.0625","","","","","","","-209977.796875","-209977.796875","-209977.796875","","","","","","","","",""
"3599","-196031.109375","-196031.109375","-196031.109375","-148428.8125","-148428.8125","-148428.8125","-212552.71875","-212552.71875","-212552.71875","-169973.890625","-169973.890625","-169973.890625","","","","","","","-204512.71875","-204512.71875","-204512.71875","","","","","","","","",""
"3775","-199015.09375","-199015.09375","-199015.09375","-150389.453125","-150389.453125","-150389.453125","-208287.609375","-208287.609375","-208287.609375","-168718.796875","-168718.796875","-168718.796875","","","","","","","-201239.25","-201239.25","-201239.25","","","","","","","","",""
"3952","-195363.46875","-195363.46875","-195363.46875","-145544.296875","-145544.296875","-145544.296875","-210405.03125","-210405.03125","-210405.03125","-167289.140625","-167289.140625","-167289.140625","","","","","","","-202839.4375","-202839.4375","-202839.4375","","","","","","","","",""
"4128","-195450.90625","-195450.90625","-195450.90625","-147558.53125","-147558.53125","-147558.53125","-205196.765625","-205196.765625","-205196.765625","-166516.34375","-166516.34375","-166516.34375","","","","","","","-197552.859375","-197552.859375","-197552.859375","","","","","","","","",""
"4304","-192443.125","-192443.125","-192443.125","-147379.234375","-147379.234375","-147379.234375","-206900.53125","-206900.53125","-206900.53125","-165197.578125","-165197.578125","-165197.578125","","","","","","","-195488.515625","-195488.515625","-195488.515625","","","","","","","","",""
"4480","-192897.6875","-192897.6875","-192897.6875","-144526.9375","-144526.9375","-144526.9375","-205837.828125","-205837.828125","-205837.828125","-165053.140625","-165053.140625","-165053.140625","","","","","","","-192395.984375","-192395.984375","-192395.984375","","","","","","","","",""
"4656","-191343.28125","-191343.28125","-191343.28125","-144267.375","-144267.375","-144267.375","-200386.046875","-200386.046875","-200386.046875","-164592.546875","-164592.546875","-164592.546875","","","","","","","-190526.09375","-190526.09375","-190526.09375","","","","","","","","",""
"4833","-190853.3125","-190853.3125","-190853.3125","-144327","-144327","-144327","-201774.515625","-201774.515625","-201774.515625","-165321.484375","-165321.484375","-165321.484375","","","","","","","-193969.28125","-193969.28125","-193969.28125","","","","","","","","",""
"5009","-195544.125","-195544.125","-195544.125","-144963.140625","-144963.140625","-144963.140625","-206909.03125","-206909.03125","-206909.03125","-164539.9375","-164539.9375","-164539.9375","","","","","","","-192799.953125","-192799.953125","-192799.953125","","","","","","","","",""
"5185","-193256.421875","-193256.421875","-193256.421875","-144603.890625","-144603.890625","-144603.890625","-206246","-206246","-206246","-164678.328125","-164678.328125","-164678.328125","","","","","","","-191442.5","-191442.5","-191442.5","","","","","","","","",""
"5361","-189141.90625","-189141.90625","-189141.90625","-143695.578125","-143695.578125","-143695.578125","-204149.546875","-204149.546875","-204149.546875","-164563.6875","-164563.6875","-164563.6875","","","","","","","-193066.375","-193066.375","-193066.375","","","","","","","","",""
"5537","-191725","-191725","-191725","-143816.296875","-143816.296875","-143816.296875","-203270.734375","-203270.734375","-203270.734375","-164519.5","-164519.5","-164519.5","","","","","","","-191938.484375","-191938.484375","-191938.484375","","","","","","","","",""
"5713","-194127.046875","-194127.046875","-194127.046875","-146116.703125","-146116.703125","-146116.703125","-203539.734375","-203539.734375","-203539.734375","-164675.625","-164675.625","-164675.625","","","","","","","-193665.46875","-193665.46875","-193665.46875","","","","","","","","",""
"5890","-197477.515625","-197477.515625","-197477.515625","-144009.765625","-144009.765625","-144009.765625","-206487.9375","-206487.9375","-206487.9375","-164750.59375","-164750.59375","-164750.59375","","","","","","","-190808.140625","-190808.140625","-190808.140625","","","","","","","","",""
"6066","-190252.421875","-190252.421875","-190252.421875","-144402.203125","-144402.203125","-144402.203125","-206156.796875","-206156.796875","-206156.796875","-164727.328125","-164727.328125","-164727.328125","","","","","","","-190982.890625","-190982.890625","-190982.890625","","","","","","","","",""
"6242","-195028.46875","-195028.46875","-195028.46875","-144847.921875","-144847.921875","-144847.921875","-203509.90625","-203509.90625","-203509.90625","-164609.6875","-164609.6875","-164609.6875","","","","","","","-190640.53125","-190640.53125","-190640.53125","","","","","","","","",""
"6418","-191700.46875","-191700.46875","-191700.46875","-143532.125","-143532.125","-143532.125","-206587.6875","-206587.6875","-206587.6875","-164756.625","-164756.625","-164756.625","","","","","","","-193765.609375","-193765.609375","-193765.609375","","","","","","","","",""
"6594","-190333.046875","-190333.046875","-190333.046875","-143420.671875","-143420.671875","-143420.671875","-202457.6875","-202457.6875","-202457.6875","-164768.890625","-164768.890625","-164768.890625","","","","","","","-192419.109375","-192419.109375","-192419.109375","","","","","","","","",""
"6771","-192065.21875","-192065.21875","-192065.21875","-143921.9375","-143921.9375","-143921.9375","-206804.234375","-206804.234375","-206804.234375","-164341.015625","-164341.015625","-164341.015625","","","","","","","-197156.421875","-197156.421875","-197156.421875","","","","","","","","",""
"6947","-193823.765625","-193823.765625","-193823.765625","-145776.921875","-145776.921875","-145776.921875","-202191.25","-202191.25","-202191.25","-164662.21875","-164662.21875","-164662.21875","","","","","","","-203808.828125","-203808.828125","-203808.828125","","","","","","","","",""
"7123","-194129.375","-194129.375","-194129.375","-143375.09375","-143375.09375","-143375.09375","-207165.609375","-207165.609375","-207165.609375","-165055.484375","-165055.484375","-165055.484375","","","","","","","-200118.5","-200118.5","-200118.5","","","","","","","","",""
"7299","-191337.25","-191337.25","-191337.25","-146562.703125","-146562.703125","-146562.703125","-201354.703125","-201354.703125","-201354.703125","-164861.671875","-164861.671875","-164861.671875","","","","","","","-192499.90625","-192499.90625","-192499.90625","","","","","","","","",""
"7475","-190475.296875","-190475.296875","-190475.296875","-144480.140625","-144480.140625","-144480.140625","-202043.59375","-202043.59375","-202043.59375","-164630.296875","-164630.296875","-164630.296875","","","","","","","-194041.84375","-194041.84375","-194041.84375","","","","","","","","",""
"7651","-194214.296875","-194214.296875","-194214.296875","-144296.015625","-144296.015625","-144296.015625","-204746.671875","-204746.671875","-204746.671875","-164577.21875","-164577.21875","-164577.21875","","","","","","","-195348.109375","-195348.109375","-195348.109375","","","","","","","","",""
"7828","-195921.234375","-195921.234375","-195921.234375","-145978.4375","-145978.4375","-145978.4375","-211054.984375","-211054.984375","-211054.984375","-164671.234375","-164671.234375","-164671.234375","","","","","","","-194508.625","-194508.625","-194508.625","","","","","","","","",""
"8004","-191800.921875","-191800.921875","-191800.921875","-148075.359375","-148075.359375","-148075.359375","-208312.03125","-208312.03125","-208312.03125","-164832.15625","-164832.15625","-164832.15625","","","","","","","-195282.34375","-195282.34375","-195282.34375","","","","","","","","",""
"8180","-192587.390625","-192587.390625","-192587.390625","-145752.734375","-145752.734375","-145752.734375","-206681.75","-206681.75","-206681.75","-164987.75","-164987.75","-164987.75","","","","","","","-201437.234375","-201437.234375","-201437.234375","","","","","","","","",""
